date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:12	4944/4944	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d60a7ea1ab89cf71426e16e0cdb81ab%22	https://doomer-two.vercel.app/1.svg	E:/Ihop/doomer/doomer-two.vercel.app/1.svg	(from https://doomer-two.vercel.app/)
18:44:12	6978/6978	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:44:12%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Fdomain.png&w=1080&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/domain41b2.png	(from https://doomer-two.vercel.app/)
18:44:13	4392/4392	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ceb15d293e3c1dc20178f1dd67c2b0ec%22	https://doomer-two.vercel.app/3.svg	E:/Ihop/doomer/doomer-two.vercel.app/3.svg	(from https://doomer-two.vercel.app/)
18:44:13	1534/1534	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2200d2726ab4cccf5692f4538f7a79a53a%22	https://doomer-two.vercel.app/4.svg	E:/Ihop/doomer/doomer-two.vercel.app/4.svg	(from https://doomer-two.vercel.app/)
18:44:14	5203/5203	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22da679140037bec6134b34f40b955ff64%22	https://doomer-two.vercel.app/2.svg	E:/Ihop/doomer/doomer-two.vercel.app/2.svg	(from https://doomer-two.vercel.app/)
18:44:15	3874/3874	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:41:40%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Ftw.png&w=256&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/twd1eb.png	(from https://doomer-two.vercel.app/)
18:44:15	1937/1937	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:41:40%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Ftw.png&w=128&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/tw291e.png	(from https://doomer-two.vercel.app/)
18:44:16	60148/60148	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:44:16%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Ftrade1.png&w=828&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/trade1764f.png	(from https://doomer-two.vercel.app/)
18:44:17	63826/63826	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:44:17%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Ftrade4.png&w=828&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/trade42094.png	(from https://doomer-two.vercel.app/)
18:44:19	127203/127203	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:44:18%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Ftrade3.png&w=640&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/trade35f6d.png	(from https://doomer-two.vercel.app/)
18:44:20	25130/25130	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:44:20%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Fcry.png&w=640&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/cry25c2.png	(from https://doomer-two.vercel.app/)
18:44:21	100411/100411	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:44:20%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Fsmok.png&w=640&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/smokb478.png	(from https://doomer-two.vercel.app/)
18:44:22	92681/92681	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:41:53%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Ftrade.png&w=640&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/trade820c.png	(from https://doomer-two.vercel.app/)
18:44:24	238727/238727	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:41:53%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Fsad.png&w=640&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/sad0149.png	(from https://doomer-two.vercel.app/)
18:44:25	175261/175261	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2023:41:53%20GMT	https://doomer-two.vercel.app/_next/image?url=%2Fsupasad.png&w=640&q=75	E:/Ihop/doomer/doomer-two.vercel.app/_next/supasad844c.png	(from https://doomer-two.vercel.app/)
18:44:26	307629/307629	---M--	200	added ('OK')	image/png	etag:%22a6c7f1b8116200531ee56bd2cd270855%22	https://doomer-two.vercel.app/background.png	E:/Ihop/doomer/doomer-two.vercel.app/background.png	(from https://doomer-two.vercel.app/_next/static/css/ec6fae810774d548.css)
